,SUT,CLI_Index,ARI_Index,Described Operations Rate,Described Parameters Rate,Described Property Rate,Described Operations
0,gitlab-issues,19.93217482334467,14.51351226760844,1.0,0.9916666666666667,0.01904761904761905,27
1,bibliothek,12.432602739726033,8.841693434104869,0.0,1.0,0.0,0
2,google-calendar,18.99414603174603,13.950966600712306,1.0,0.9720588235294118,0.9946524064171123,37
3,gitlab-commit,16.569875424688558,11.838977292358486,1.0,0.9661016949152542,0.03508771929824561,15
4,ocvn,22.702568818210903,16.98661341790121,0.0,0.9943752511048614,0.0,0
5,genome-nexus,23.342021660649824,19.110376661904084,0.0,1.0,0.5491990846681922,0
6,gitlab-groups,18.855651249335462,13.653405717089925,1.0,0.9865771812080537,0.01904761904761905,17
7,Locations,18.33743970315398,13.8725512022991,1.0,1.0,0.0,5
8,proxyprint,13.388704061895549,13.362783302004154,0.6173913043478261,0.9852941176470589,0.008264462809917356,71
9,session-service,9.339047619047612,15.425064935064938,0.0,1.0,0.0,0
10,emb-project,15.32837782340862,20.22870276080925,0.0,1.0,0.0,0
11,spotify,21.63793350963355,16.500770626581065,1.0,0.8421052631578947,0.8843537414965986,13
12,restcountries,24.873406593406596,24.31616605616606,0.0,0.0,0.0,0
13,person,9.757037037037033,16.86719298245614,0.0,1.0,0.0,0
14,market,11.023478260869567,18.687557544757034,0.0,0.4117647058823529,0.0,0
15,youtube,20.341597990326573,15.809302980077959,1.0,0.9794589178356713,0.9267782426778243,76
16,google-custom-search,28.141577808380877,21.545235691804542,1.0,1.0,1.0,2
17,gestaohospital-rest,18.115231788079473,25.486771662307305,0.0,1.0,0.0,0
18,ohsome,24.665374569406065,18.43926798349355,0.0,0.960619754680439,0.627906976744186,0
19,cwa-verfication,25.460697674418608,19.098205176294073,1.0,0.625,0.041666666666666664,5
20,scs,9.897948717948715,19.060186104218367,0.0,1.0,0.0,0
21,catwatch,21.335166297117514,16.545237494660185,0.17391304347826086,1.0,0.5294117647058824,4
22,ncs,14.624347826086947,19.11136431784108,0.0,1.0,0.0,0
23,travels,9.404470588235291,13.594347483323226,0.0,0.8409090909090909,0.0,0
24,Route,18.4941780104712,13.960626355391526,1.0,0.9916666666666667,0.06,14
25,springboot,12.414956521739125,15.6944375,0.0,1.0,0.16666666666666666,0
26,pay-publicapi,26.53389846743295,19.989031132267897,1.0,0.9782608695652174,0.6233766233766234,16
27,google-analytics,17.81785918333053,12.918804791782577,1.0,0.9993589743589744,0.9683168316831683,88
28,omdb,21.43169811320755,16.400031446540886,0.0,1.0,0.0,0
29,languageTool,20.23058139534884,15.441831395348842,0.5,0.0,0.0,1
30,google-drive,16.750953047699053,12.465668846959659,1.0,1.0,1.0,48
31,news,8.138139534883724,6.996985688729875,0.0,1.0,1.0,0
32,owasp,13.700722891566254,9.928164422395461,0.0,0.6,0.0,0
33,user,11.428311688311691,19.037581453634083,0.0,1.0,0.0,0
34,petstore,15.929402390438245,11.48945608868872,0.6842105263157895,0.8333333333333334,0.08823529411764706,13
35,gitlab-repository,17.719738562091504,12.763319047108823,1.0,1.0,0.007963594994311717,10
36,bitbucket_server,19.191848497324,14.025718193299888,1.0,0.18556701030927836,0.0,32
37,TimeZone,14.820645161290319,10.462142857142855,1.0,1.0,0.0,4
38,google-fitness,17.326705596107058,13.36136972033134,1.0,1.0,0.9294117647058824,13
39,toggle,30.951428571428576,23.3891954763858,1.0,0.0,0.0,16
40,erc20,19.340478468899516,18.219187702799317,0.38461538461538464,1.0,0.0,5
41,springbatch,40.77037037037037,32.38968253968254,0.0,0.0,0.0,0
42,spree,24.0596713965646,17.907706452123925,1.0,0.9111111111111111,0.24031007751937986,35
43,fdic,23.01544609466823,20.17341407720434,1.0,1.0,0.3,6
44,gitlab-projects,17.719120342089187,12.736843500254956,1.0,0.9966329966329966,0.008413461538461538,31
45,station_service,9.784927536231883,18.026070234113718,0.0,1.0,0.0,0
46,reservations-api,19.695522388059697,15.188526119402987,1.0,0.0,0.0,7
47,Elevations,18.02610687022901,13.872484234981748,1.0,1.0,0.0,4
48,VAmPI,16.30272373540856,12.125468694729399,1.0,1.0,0.0,14
49,Imagery,15.592932166301967,11.433796122630916,1.0,1.0,0.0,10
50,features-service,34.08,31.810000000000002,0.0,0.0,0.0,0
51,gitlab-branch,18.89650623885918,13.6835960012262,1.0,1.0,0.007963594994311717,9
